,Order ID,Grouped
6434,182735,"AAA Batteries (4-pack),Wired Headphones"
6452,182752,"Bose SoundSport Headphones,27in FHD Monitor"
6457,182756,"Apple Airpods Headphones,Wired Headphones"
6468,182766,"Google Phone,Wired Headphones"
6479,182776,"Google Phone,USB-C Charging Cable"
6513,182809,"Macbook Pro Laptop,AA Batteries (4-pack)"
6551,182846,"iPhone,Lightning Charging Cable"
6558,182852,"AA Batteries (4-pack),Lightning Charging Cable"
6598,182891,"27in 4K Gaming Monitor,Bose SoundSport Headphones"
6600,182892,"USB-C Charging Cable,AAA Batteries (4-pack)"
6610,182901,"Google Phone,USB-C Charging Cable"
6614,182904,"Lightning Charging Cable,Lightning Charging Cable"
6616,182905,"Lightning Charging Cable,Google Phone"
6620,182908,"Google Phone,USB-C Charging Cable,Wired Headphones"
6631,182917,"iPhone,USB-C Charging Cable"
6702,182987,"iPhone,Lightning Charging Cable"
6730,183014,"Google Phone,Wired Headphones"
6733,183016,"Google Phone,USB-C Charging Cable,Wired Headphones"
6753,183034,"iPhone,Lightning Charging Cable"
6779,183059,"ThinkPad Laptop,USB-C Charging Cable"
6806,183085,"iPhone,Lightning Charging Cable"
6815,183093,"Apple Airpods Headphones,ThinkPad Laptop"
6845,183122,"Google Phone,USB-C Charging Cable"
6864,183140,"Google Phone,USB-C Charging Cable"
6871,183146,"iPhone,Lightning Charging Cable"
6875,183149,"Apple Airpods Headphones,27in 4K Gaming Monitor"
6904,183177,"iPhone,Lightning Charging Cable"
6945,183217,"USB-C Charging Cable,Lightning Charging Cable"
6947,183218,"Apple Airpods Headphones,AA Batteries (4-pack)"
6950,183220,"iPhone,Lightning Charging Cable"
6961,183230,"Google Phone,Bose SoundSport Headphones"
7047,183315,"Google Phone,USB-C Charging Cable"
7058,183325,"Vareebadd Phone,USB-C Charging Cable"
7076,183342,"Vareebadd Phone,Wired Headphones"
7096,183361,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
7120,183383,"iPhone,34in Ultrawide Monitor"
7160,183422,"Google Phone,Wired Headphones"
7175,183436,"iPhone,Lightning Charging Cable,Wired Headphones"
7193,183452,"20in Monitor,USB-C Charging Cable"
7196,183454,"iPhone,Apple Airpods Headphones"
7211,183468,"Google Phone,USB-C Charging Cable"
7223,183479,"Vareebadd Phone,USB-C Charging Cable"
7248,183503,"iPhone,Lightning Charging Cable"
7252,183506,"Apple Airpods Headphones,AAA Batteries (4-pack)"
7285,183538,"AAA Batteries (4-pack),27in FHD Monitor"
7312,183564,"USB-C Charging Cable,AA Batteries (4-pack)"
7320,183571,"Vareebadd Phone,Bose SoundSport Headphones"
7337,183587,"AAA Batteries (4-pack),AAA Batteries (4-pack)"
7373,183622,"Google Phone,Wired Headphones"
7393,183641,"iPhone,Lightning Charging Cable"
7431,183678,"AA Batteries (4-pack),Lightning Charging Cable"
7480,183726,"iPhone,Apple Airpods Headphones"
7488,183733,"iPhone,Wired Headphones"
7587,183831,"Google Phone,Bose SoundSport Headphones"
7625,183868,"Google Phone,AA Batteries (4-pack)"
7729,183971,"iPhone,Vareebadd Phone"
7780,184021,"Google Phone,USB-C Charging Cable"
7782,184022,"Google Phone,USB-C Charging Cable"
7815,184054,"Google Phone,USB-C Charging Cable"
7817,184055,"iPhone,Lightning Charging Cable"
7860,184097,"Google Phone,Wired Headphones"
7909,184145,"Lightning Charging Cable,USB-C Charging Cable"
7919,184154,"Google Phone,USB-C Charging Cable"
7923,184157,"AA Batteries (4-pack),Bose SoundSport Headphones"
7933,184166,"AA Batteries (4-pack),27in FHD Monitor"
7940,184172,"Google Phone,USB-C Charging Cable"
7990,184221,"iPhone,Wired Headphones"
8022,184252,"ThinkPad Laptop,Bose SoundSport Headphones"
8043,184272,"iPhone,Lightning Charging Cable"
8053,184281,"iPhone,Apple Airpods Headphones"
8107,184334,"20in Monitor,Bose SoundSport Headphones"
8221,184447,"iPhone,Lightning Charging Cable"
8235,184460,"iPhone,Wired Headphones"
8248,184472,"iPhone,Bose SoundSport Headphones"
8280,184503,"iPhone,Lightning Charging Cable"
8355,184577,"iPhone,Lightning Charging Cable"
8397,184618,"Google Phone,USB-C Charging Cable"
8401,184621,"iPhone,Lightning Charging Cable"
8416,184635,"Vareebadd Phone,Bose SoundSport Headphones"
8452,184670,"Wired Headphones,20in Monitor"
8493,184710,"iPhone,Wired Headphones"
8496,184712,"Lightning Charging Cable,AA Batteries (4-pack)"
8502,184717,"USB-C Charging Cable,USB-C Charging Cable"
8515,184729,"Vareebadd Phone,Wired Headphones"
8520,184733,"Google Phone,Bose SoundSport Headphones"
8522,184734,"Google Phone,Bose SoundSport Headphones"
8547,184758,"iPhone,Lightning Charging Cable"
8555,184765,"Google Phone,USB-C Charging Cable"
8586,184795,"iPhone,Wired Headphones"
8605,184813,"USB-C Charging Cable,AA Batteries (4-pack)"
8621,184828,"Vareebadd Phone,USB-C Charging Cable"
8626,184832,"AA Batteries (4-pack),Wired Headphones"
8635,184840,"AA Batteries (4-pack),USB-C Charging Cable"
8649,184853,"Vareebadd Phone,Wired Headphones"
8659,184862,"Apple Airpods Headphones,Lightning Charging Cable"
8737,184939,"Google Phone,USB-C Charging Cable"
8755,184956,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
8779,184979,"Vareebadd Phone,USB-C Charging Cable"
8804,185003,"ThinkPad Laptop,USB-C Charging Cable"
8854,185052,"Google Phone,USB-C Charging Cable,Wired Headphones"
8870,185066,"USB-C Charging Cable,Apple Airpods Headphones"
8916,185111,"Vareebadd Phone,USB-C Charging Cable"
8925,185119,"Macbook Pro Laptop,Wired Headphones"
8937,185130,"iPhone,Lightning Charging Cable"
8968,185160,"iPhone,Wired Headphones"
8976,185167,"AAA Batteries (4-pack),Wired Headphones"
9003,185193,"Lightning Charging Cable,Lightning Charging Cable"
9012,185201,"Vareebadd Phone,Apple Airpods Headphones"
9016,185204,"Lightning Charging Cable,27in 4K Gaming Monitor"
9040,185227,"Google Phone,USB-C Charging Cable"
9122,185308,"Vareebadd Phone,34in Ultrawide Monitor"
9126,185311,"Google Phone,Wired Headphones"
9159,185343,"Google Phone,USB-C Charging Cable"
9181,185364,"Vareebadd Phone,USB-C Charging Cable"
9217,185399,"AA Batteries (4-pack),27in FHD Monitor"
9224,185405,"iPhone,Lightning Charging Cable"
9257,185437,"Vareebadd Phone,Bose SoundSport Headphones"
9272,185451,"20in Monitor,USB-C Charging Cable"
9274,185452,"Google Phone,USB-C Charging Cable,Wired Headphones"
9307,185483,"iPhone,Lightning Charging Cable"
9341,185516,"Bose SoundSport Headphones,Wired Headphones"
9352,185526,"iPhone,Lightning Charging Cable"
9361,185534,"iPhone,Lightning Charging Cable"
9458,185630,"Wired Headphones,Apple Airpods Headphones"
9478,185649,"Vareebadd Phone,AA Batteries (4-pack)"
9497,185667,"iPhone,AAA Batteries (4-pack)"
9515,185684,"Apple Airpods Headphones,ThinkPad Laptop"
9560,185728,"USB-C Charging Cable,27in FHD Monitor"
9586,185753,"AA Batteries (4-pack),Lightning Charging Cable"
9598,185764,"USB-C Charging Cable,ThinkPad Laptop"
9697,185862,"iPhone,Lightning Charging Cable"
9704,185868,"Wired Headphones,AA Batteries (4-pack)"
9710,185873,"Apple Airpods Headphones,Wired Headphones"
9758,185920,"27in FHD Monitor,USB-C Charging Cable"
9768,185929,"Google Phone,USB-C Charging Cable"
9833,185993,"Wired Headphones,AA Batteries (4-pack)"
9849,186008,"Bose SoundSport Headphones,Bose SoundSport Headphones"
9852,186010,"Flatscreen TV,Lightning Charging Cable"
9862,186019,"USB-C Charging Cable,Vareebadd Phone"
9888,186044,"Vareebadd Phone,Wired Headphones"
9916,186071,"Google Phone,Bose SoundSport Headphones"
9924,186078,"27in FHD Monitor,USB-C Charging Cable"
9943,186096,"Google Phone,USB-C Charging Cable"
9965,186117,"Google Phone,USB-C Charging Cable"
9988,186139,"AA Batteries (4-pack),iPhone"
10008,186158,"iPhone,Lightning Charging Cable"
10077,186226,"Google Phone,USB-C Charging Cable"
10094,186242,"AAA Batteries (4-pack),AA Batteries (4-pack)"
10124,186271,"Vareebadd Phone,AA Batteries (4-pack)"
10138,186284,"iPhone,Lightning Charging Cable"
10143,186288,"iPhone,Wired Headphones"
10187,186331,"AAA Batteries (4-pack),AAA Batteries (4-pack)"
10219,186362,"Wired Headphones,Lightning Charging Cable"
10228,186370,"Google Phone,USB-C Charging Cable"
10243,186384,"iPhone,Wired Headphones"
10265,186405,"Lightning Charging Cable,AAA Batteries (4-pack)"
10280,186419,"iPhone,Lightning Charging Cable"
10298,186436,"Google Phone,Wired Headphones"
10350,186487,"AA Batteries (4-pack),34in Ultrawide Monitor"
10396,186532,"Google Phone,USB-C Charging Cable"
10398,186533,"Google Phone,USB-C Charging Cable"
10418,186552,"Vareebadd Phone,Wired Headphones"
10467,186600,"Google Phone,USB-C Charging Cable"
10497,186629,"Vareebadd Phone,USB-C Charging Cable"
10502,186633,"Vareebadd Phone,USB-C Charging Cable"
10539,186669,"Google Phone,USB-C Charging Cable"
10585,186714,"Wired Headphones,Apple Airpods Headphones"
10594,186722,"Google Phone,Bose SoundSport Headphones"
10626,186753,"Google Phone,Wired Headphones"
10665,186791,"Apple Airpods Headphones,Wired Headphones"
10702,186827,"Apple Airpods Headphones,AA Batteries (4-pack)"
10704,186828,"Google Phone,Wired Headphones"
10708,186831,"iPhone,Wired Headphones"
10740,186862,"AAA Batteries (4-pack),USB-C Charging Cable"
10752,186873,"ThinkPad Laptop,Bose SoundSport Headphones"
10759,186879,"Google Phone,USB-C Charging Cable"
10785,186904,"Google Phone,USB-C Charging Cable,Wired Headphones"
10826,186943,"Google Phone,USB-C Charging Cable"
10840,186956,"AA Batteries (4-pack),Wired Headphones"
10874,186989,"Lightning Charging Cable,AA Batteries (4-pack)"
10884,186998,"Vareebadd Phone,USB-C Charging Cable"
10924,187037,"Google Phone,USB-C Charging Cable"
10969,187081,"Google Phone,USB-C Charging Cable"
10997,187108,"iPhone,Lightning Charging Cable"
11016,187126,"Bose SoundSport Headphones,34in Ultrawide Monitor"
11063,187172,"Lightning Charging Cable,20in Monitor"
11107,187215,"iPhone,Lightning Charging Cable"
11154,187261,"iPhone,Lightning Charging Cable"
11201,187307,"AA Batteries (4-pack),27in FHD Monitor"
11252,187357,"iPhone,Lightning Charging Cable"
11265,187369,"Google Phone,Wired Headphones"
11276,187379,"USB-C Charging Cable,USB-C Charging Cable"
11283,187385,"Lightning Charging Cable,Google Phone"
11304,187405,"iPhone,Lightning Charging Cable"
11323,187423,"Vareebadd Phone,Wired Headphones"
11343,187442,"Vareebadd Phone,USB-C Charging Cable"
11355,187453,"Apple Airpods Headphones,Bose SoundSport Headphones"
11366,187463,"Google Phone,USB-C Charging Cable,Wired Headphones"
11369,187464,"iPhone,Lightning Charging Cable"
11375,187469,"Apple Airpods Headphones,Lightning Charging Cable"
11437,187530,"34in Ultrawide Monitor,Wired Headphones"
11442,187534,"Google Phone,Lightning Charging Cable"
11456,187547,"Google Phone,Wired Headphones"
11489,187579,"34in Ultrawide Monitor,AA Batteries (4-pack)"
11514,187603,"Vareebadd Phone,USB-C Charging Cable"
11517,187605,"Flatscreen TV,27in 4K Gaming Monitor"
11522,187609,"iPhone,Lightning Charging Cable"
11550,187636,"iPhone,Lightning Charging Cable,Wired Headphones"
11563,187647,"Google Phone,USB-C Charging Cable"
11614,187697,"Wired Headphones,iPhone"
11621,187703,"iPhone,Apple Airpods Headphones"
11632,187713,"USB-C Charging Cable,Flatscreen TV"
11661,187741,"Google Phone,27in FHD Monitor"
11743,187822,"iPhone,Lightning Charging Cable"
11794,187872,"USB-C Charging Cable,ThinkPad Laptop"
11811,187888,"iPhone,Wired Headphones"
11856,187932,"Vareebadd Phone,USB-C Charging Cable"
11880,187955,"Google Phone,USB-C Charging Cable"
11893,187967,"Vareebadd Phone,USB-C Charging Cable,Bose SoundSport Headphones"
11898,187970,"Google Phone,USB-C Charging Cable"
11907,187978,"Google Phone,Bose SoundSport Headphones"
11956,188026,"27in FHD Monitor,Wired Headphones"
11959,188028,"AAA Batteries (4-pack),USB-C Charging Cable"
11970,188038,"iPhone,Lightning Charging Cable"
12003,188070,"34in Ultrawide Monitor,USB-C Charging Cable"
12011,188077,"iPhone,Lightning Charging Cable"
12022,188087,"ThinkPad Laptop,Macbook Pro Laptop"
12033,188097,"Google Phone,USB-C Charging Cable,27in FHD Monitor"
12045,188107,"Apple Airpods Headphones,Flatscreen TV"
12052,188113,"AAA Batteries (4-pack),USB-C Charging Cable"
12062,188122,"iPhone,Lightning Charging Cable"
12083,188142,"ThinkPad Laptop,AA Batteries (4-pack)"
12164,188222,"AAA Batteries (4-pack),AA Batteries (4-pack)"
12212,188269,"27in FHD Monitor,iPhone"
12247,188303,"iPhone,Apple Airpods Headphones"
12271,188326,"Bose SoundSport Headphones,Lightning Charging Cable"
12278,188332,"Vareebadd Phone,USB-C Charging Cable"
12287,188340,"Bose SoundSport Headphones,Wired Headphones"
12291,188343,"iPhone,Lightning Charging Cable"
12294,188345,"iPhone,Lightning Charging Cable"
12324,188374,"Google Phone,USB-C Charging Cable"
12331,188380,"Bose SoundSport Headphones,34in Ultrawide Monitor"
12362,188410,"AA Batteries (4-pack),Lightning Charging Cable"
12418,188465,"iPhone,Apple Airpods Headphones"
12436,188482,"iPhone,Wired Headphones"
12468,188513,"Apple Airpods Headphones,USB-C Charging Cable"
12476,188520,"27in 4K Gaming Monitor,34in Ultrawide Monitor"
12490,188533,"Vareebadd Phone,USB-C Charging Cable,Wired Headphones"
12500,188541,"Apple Airpods Headphones,Macbook Pro Laptop"
12503,188543,"AAA Batteries (4-pack),Macbook Pro Laptop"
12542,188581,"iPhone,Lightning Charging Cable"
12544,188582,"Bose SoundSport Headphones,27in FHD Monitor"
12552,188589,"iPhone,Lightning Charging Cable"
12562,188598,"USB-C Charging Cable,Macbook Pro Laptop"
12603,188638,"iPhone,Wired Headphones"
12637,188671,"Google Phone,Wired Headphones"
12639,188672,"iPhone,Lightning Charging Cable"
12668,188700,"27in FHD Monitor,AAA Batteries (4-pack)"
